file,label,severity,rich_verdict,quality_verdict,recommendation,smallest_face_min_dim_px,body_coverage,subject_count_estimate,face_count,face_gates,face_size_pcts,sharpness,lighting,concerns,detected_gender,detected_age_group,gender,age_group,http,error
flat-c60__person-081-m-clean.jpg,flat,c60,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
flat-c80__person-001-m-clean.jpg,flat,c80,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
flat-c80__person-015-f-clean.jpg,flat,c80,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
flat-c80__person-030-f-clean.jpg,flat,c80,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
flat-c80__person-043-m-clean.jpg,flat,c80,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
flat-c80__person-051-m-clean.jpg,flat,c80,,green,,328,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
flat-c80__person-060-f-clean.jpg,flat,c80,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
flat-c80__person-073-f-clean.jpg,flat,c80,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
flat-c80__person-081-m-clean.jpg,flat,c80,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
motion-p12__person-001-m-clean.jpg,motion,p12,,green,,307,upper_body,1,1,pass,30,good,good,,m,young,m,young,200,
motion-p12__person-015-f-clean.jpg,motion,p12,,green,,307,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
motion-p12__person-030-f-clean.jpg,motion,p12,,green,,307,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
motion-p12__person-051-m-clean.jpg,motion,p12,,green,,287,upper_body,1,1,pass,28,good,good,,m,mature,m,mature,200,
motion-p12__person-043-m-clean.jpg,motion,p12,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
motion-p12__person-073-f-clean.jpg,motion,p12,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
motion-p12__person-060-f-clean.jpg,motion,p12,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
motion-p12__person-081-m-clean.jpg,motion,p12,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
motion-p20__person-001-m-clean.jpg,motion,p20,,green,,307,upper_body,1,1,pass,30,good,good,,m,young,m,young,200,
motion-p20__person-015-f-clean.jpg,motion,p20,,yellow,One of the photos is fairly blurry — a sharper shot would improve the result.,410,upper_body,1,1,pass,40,fair,good,slight blur,f,mature,f,mature,200,
motion-p20__person-030-f-clean.jpg,motion,p20,,red,A sharper shot would improve the result.,307,upper_body,1,1,pass,30,poor,good,blurry,f,mature,f,mature,200,
motion-p20__person-043-m-clean.jpg,motion,p20,,yellow,A sharper photo would improve the result.,410,upper_body,1,1,pass,40,fair,good,slight blurring,m,young,m,young,200,
motion-p20__person-060-f-clean.jpg,motion,p20,,yellow,A sharper photo would improve the result.,410,upper_body,1,1,pass,40,fair,good,slight blur,f,adult,f,adult,200,
motion-p20__person-051-m-clean.jpg,motion,p20,,green,,328,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
motion-p20__person-073-f-clean.jpg,motion,p20,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
motion-p20__person-081-m-clean.jpg,motion,p20,,yellow,A sharper photo would improve the result.,512,upper_body,1,1,pass,50,poor,good,blurred image,m,young,m,young,200,
motion-p32__person-015-f-clean.jpg,motion,p32,,red,The photo is blurry — a sharper shot would improve the result.,307,upper_body,1,1,pass,30,poor,good,blurry,f,mature,f,mature,200,
motion-p32__person-001-m-clean.jpg,motion,p32,,red,A sharper shot would improve the result.,307,upper_body,1,1,pass,30,poor,good,blurry image,m,young,m,young,200,
motion-p32__person-030-f-clean.jpg,motion,p32,,yellow,A sharper photo with better focus would improve the result.,205,upper_body,1,1,pass,20,poor,fair,blurriness; background distraction,f,mature,f,mature,200,
motion-p32__person-043-m-clean.jpg,motion,p32,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
motion-p32__person-051-m-clean.jpg,motion,p32,,green,,358,upper_body,1,1,pass,35,fair,good,,m,mature,m,mature,200,
motion-p32__person-060-f-clean.jpg,motion,p32,,red,A sharper photo would improve the result.,307,upper_body,1,1,pass,30,poor,good,blur,f,adult,f,adult,200,
motion-p32__person-073-f-clean.jpg,motion,p32,,green,,256,upper_body,1,1,pass,25,fair,good,,f,young,f,young,200,
motion-p32__person-081-m-clean.jpg,motion,p32,,red,A sharper photo would improve the result.,410,upper_body,1,1,pass,40,poor,good,blurry,m,young,m,young,200,
motion-p6__person-015-f-clean.jpg,motion,p6,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
motion-p6__person-001-m-clean.jpg,motion,p6,,green,,461,head_shoulders,1,1,pass,45,good,good,,m,young,m,young,200,
motion-p6__person-030-f-clean.jpg,motion,p6,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
motion-p6__person-043-m-clean.jpg,motion,p6,,green,,358,head_shoulders,1,1,pass,35,good,good,,m,young,m,young,200,
motion-p6__person-051-m-clean.jpg,motion,p6,,green,,328,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
motion-p6__person-060-f-clean.jpg,motion,p6,,green,,512,upper_body,1,1,pass,50,good,good,,f,adult,f,adult,200,
small-256__person-001-m-clean.jpg,small,256,,green,,90,upper_body,1,1,pass,35,good,good,,m,young,m,young,200,
motion-p6__person-081-m-clean.jpg,motion,p6,,green,,307,upper_body,1,1,pass,30,good,good,,m,young,m,young,200,
motion-p6__person-073-f-clean.jpg,motion,p6,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
small-256__person-015-f-clean.jpg,small,256,,green,,82,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
small-256__person-030-f-clean.jpg,small,256,,green,,102,upper_body,1,1,pass,40,good,fair,,f,mature,f,mature,200,
small-256__person-043-m-clean.jpg,small,256,,green,,90,upper_body,1,1,pass,35,good,good,,m,young,m,young,200,
small-256__person-051-m-clean.jpg,small,256,,green,,64,upper_body,1,1,pass,25,good,good,,m,mature,m,mature,200,
small-256__person-073-f-clean.jpg,small,256,,green,,72,upper_body,1,1,pass,28,good,good,,f,young,f,young,200,
small-256__person-060-f-clean.jpg,small,256,,green,,77,upper_body,1,1,pass,30,good,good,,f,adult,f,adult,200,
small-384__person-001-m-clean.jpg,small,384,,green,,115,head_shoulders,1,1,pass,30,good,good,,m,young,m,young,200,
small-256__person-081-m-clean.jpg,small,256,,green,,102,head_shoulders,1,1,pass,40,good,good,,m,young,m,young,200,
small-384__person-015-f-clean.jpg,small,384,,green,,115,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
small-384__person-030-f-clean.jpg,small,384,,green,,96,upper_body,1,1,pass,25,good,good,,f,mature,f,mature,200,
small-384__person-043-m-clean.jpg,small,384,,green,,123,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
small-384__person-073-f-clean.jpg,small,384,,green,,154,upper_body,1,1,pass,40,good,good,,f,young,f,young,200,
small-384__person-051-m-clean.jpg,small,384,,green,,115,upper_body,1,1,pass,30,good,good,,m,mature,m,mature,200,
small-384__person-060-f-clean.jpg,small,384,,green,,123,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
small-512__person-001-m-clean.jpg,small,512,,green,,164,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
small-512__person-015-f-clean.jpg,small,512,,green,,164,upper_body,1,1,pass,32,good,good,,f,mature,f,adult,200,
small-384__person-081-m-clean.jpg,small,384,,green,,154,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
small-512__person-030-f-clean.jpg,small,512,,green,,154,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
small-512__person-043-m-clean.jpg,small,512,,green,,179,upper_body,1,1,pass,35,good,good,,m,young,m,young,200,
small-512__person-051-m-clean.jpg,small,512,,green,,164,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
small-512__person-060-f-clean.jpg,small,512,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
small-512__person-073-f-clean.jpg,small,512,,green,,154,upper_body,1,1,pass,30,good,good,,f,young,f,young,200,
small-512__person-081-m-clean.jpg,small,512,,green,,256,head_shoulders,1,1,pass,50,good,good,,m,young,m,young,200,
small-768__person-001-m-clean.jpg,small,768,,green,,269,head_shoulders,1,1,pass,35,good,good,,m,young,m,young,200,
small-768__person-015-f-clean.jpg,small,768,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
small-768__person-043-m-clean.jpg,small,768,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
small-768__person-051-m-clean.jpg,small,768,,green,,269,upper_body,1,1,pass,35,good,good,,m,mature,m,mature,200,
small-768__person-060-f-clean.jpg,small,768,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
small-768__person-030-f-clean.jpg,small,768,,green,,246,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
P_59.jpg,other,,,green,,330,upper_body,1,1,pass,40,good,good,,m,mature,m,mature,200,
small-768__person-081-m-clean.jpg,small,768,,green,,346,upper_body,1,1,pass,45,good,good,,m,young,m,young,200,
small-768__person-073-f-clean.jpg,small,768,,green,,246,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
mismatch-01.jpg,mismatch,,,yellow,,,face_only,1,0,,,,,,,,,,200,
mismatch-03.jpg,mismatch,,,green,,614,upper_body,1,1,pass,60,good,good,,m,young,m,,200,
mismatch-04.jpg,mismatch,,,yellow,,,face_only,1,0,,,,,,,,,,200,
mismatch-02.jpg,mismatch,,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
mismatch-05.jpg,mismatch,,,red,A photo with visible faces is needed to create a portrait.,,face_only,1,0,,,good,good,,,,,,200,
mismatch-07.jpg,mismatch,,,red,"A photo with clear, visible faces would improve the result.",,face_only,1,0,,,good,good,,,,,,200,
mismatch-06.jpg,mismatch,,,green,,205,upper_body,3,3,pass|pass|pass,20|20|20,good,good,,f,young,f,young,200,
mismatch-08.jpg,mismatch,,,green,,143,upper_body,4,4,pass|pass|pass|pass,22|21|15|14,good,good,,f,adult,f,adult,200,
person-001-m-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
person-002-f-far.jpg,far,,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
person-003-f-far.jpg,far,,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,young,200,
person-004-f-clean.jpg,clean,,,green,,307,upper_body,1,1,pass,30,good,good,,f,adult,f,adult,200,
person-005-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
person-006-m-backlit.jpg,backlit,,,green,,512,head_shoulders,1,1,pass,50,good,good,,m,young,m,young,200,
person-007-f-blur.jpg,blur,,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
person-008-f-blur.jpg,blur,,,green,,410,upper_body,1,1,pass,40,good,good,,f,mature,f,senior,200,
person-009-f-dim.jpg,dim,,,green,,328,face_only,1,1,pass,32,good,good,,f,adult,f,young,200,
person-010-f-clean.jpg,clean,,,green,,358,upper_body,1,1,pass,35,good,good,,f,mature,f,mature,200,
person-011-f-clean.jpg,clean,,,green,,614,upper_body,1,1,pass,60,good,good,,f,young,f,young,200,
person-012-m-dim.jpg,dim,,,yellow,Improved lighting would enhance clarity and detail.,614,head_shoulders,1,1,pass,60,fair,poor,low light making details hard to see,m,mature,m,mature,200,
person-013-f-busy.jpg,busy,,,green,,328,face_only,1,1,pass,32,good,good,,f,young,f,young,200,
person-014-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
person-015-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
person-016-m-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,m,mature,m,mature,200,
person-017-m-dim.jpg,dim,,,yellow,,,face_only,1,0,,,,,,,,m,mature,200,
person-018-f-dim.jpg,dim,,,green,,307,upper_body,1,1,pass,30,good,fair,,f,adult,f,adult,200,
person-019-m-dim.jpg,dim,,,yellow,Better lighting would help improve the result.,410,upper_body,1,1,pass,40,good,poor,poor lighting,m,adult,m,adult,200,
person-020-m-busy.jpg,busy,,,yellow,,,face_only,1,0,,,,,,,,m,adult,200,
person-021-f-dim.jpg,dim,,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
person-022-f-backlit.jpg,backlit,,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
person-023-m-clean.jpg,clean,,,green,,307,upper_body,1,1,pass,30,good,good,,m,young,m,young,200,
person-024-m-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
person-026-f-clean.jpg,clean,,,green,,307,upper_body,1,1,pass,30,good,good,,f,adult,f,adult,200,
person-025-f-busy.jpg,busy,,,green,,328,head_shoulders,1,1,pass,32,good,good,,f,adult,f,adult,200,
person-027-f-blur.jpg,blur,,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
person-029-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
person-028-f-dim.jpg,dim,,,green,,563,upper_body,1,1,pass,55,good,good,,f,mature,f,mature,200,
person-030-f-clean.jpg,clean,,,green,,328,head_shoulders,1,1,pass,32,good,good,,f,mature,f,mature,200,
person-031-m-dim.jpg,dim,,,green,,307,upper_body,1,1,pass,30,good,fair,,m,mature,m,mature,200,
person-033-f-dim.jpg,dim,,,green,,410,upper_body,1,1,pass,40,good,fair,,f,adult,f,adult,200,
person-032-f-far.jpg,far,,,yellow,A closer photo where the face fills more of the frame would help.,154,upper_body,1,1,small,15,good,good,,f,adult,f,young,200,
person-034-m-clean.jpg,clean,,,green,,461,upper_body,1,1,pass,45,good,good,,m,mature,m,mature,200,
person-035-m-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,m,mature,200,
person-036-f-busy.jpg,busy,,,green,,358,upper_body,1,1,pass,35,good,good,,f,senior,f,senior,200,
person-037-f-busy.jpg,busy,,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
person-039-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
person-038-m-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,m,senior,m,senior,200,
person-040-m-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
person-041-m-blur.jpg,blur,,,yellow,,,face_only,1,0,,,,,,,,m,mature,200,
person-042-m-blur.jpg,blur,,,green,,328,head_shoulders,1,1,pass,32,good,good,,m,adult,m,adult,200,
person-044-f-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,f,mature,f,mature,200,
person-045-f-clean.jpg,clean,,,green,,512,upper_body,1,1,pass,50,good,good,,f,young,f,young,200,
person-043-m-clean.jpg,clean,,,green,,358,upper_body,1,1,pass,35,good,good,,m,young,m,young,200,
person-046-f-dim.jpg,dim,,,green,,410,head_shoulders,1,1,pass,40,good,fair,,f,mature,f,mature,200,
person-047-m-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
person-048-f-clean.jpg,clean,,,green,,461,upper_body,1,1,pass,45,good,good,,f,mature,f,mature,200,
person-049-m-busy.jpg,busy,,,green,,328,head_shoulders,1,1,pass,32,good,good,,m,adult,m,adult,200,
person-050-m-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,m,mature,m,mature,200,
person-052-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
person-051-m-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
person-053-f-busy.jpg,busy,,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,senior,200,
person-055-m-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,m,adult,m,adult,200,
person-056-m-clean.jpg,clean,,,green,,287,upper_body,1,1,pass,28,good,good,,m,mature,m,mature,200,
person-054-f-dim.jpg,dim,,,yellow,Improving the lighting would enhance the portrait.,307,upper_body,1,1,pass,30,good,fair,low lighting,f,adult,f,adult,200,
person-057-m-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,m,mature,m,mature,200,
person-059-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
person-058-f-far.jpg,far,,,yellow,A closer photo where the face fills more of the frame would help.,154,upper_body,1,1,pass,15,good,good,,f,adult,f,adult,200,
person-060-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
person-063-m-blur.jpg,blur,,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
person-062-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
person-061-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
person-064-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
person-065-f-dim.jpg,dim,,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
person-066-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
person-068-m-blur.jpg,blur,,,yellow,,,face_only,1,0,,,,,,,,m,adult,200,
person-067-m-dim.jpg,dim,,,green,,154,upper_body,1,1,pass,15,good,fair,,m,adult,m,adult,200,
person-069-f-dim.jpg,dim,,,green,,205,upper_body,1,1,pass,20,good,good,,f,adult,f,adult,200,
person-070-m-dim.jpg,dim,,,yellow,Improved lighting would enhance the portrait quality.,307,upper_body,1,1,pass,30,good,fair,low lighting,m,young,m,young,200,
person-071-f-clean.jpg,clean,,,green,,512,upper_body,1,1,pass,50,good,good,,f,adult,f,adult,200,
person-072-m-far.jpg,far,,,red,A closer photo where the face is visible would help.,,upper_body,1,0,,,good,good,,,,m,adult,200,
person-073-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
person-074-m-blur.jpg,blur,,,green,,225,upper_body,1,1,pass,22,good,good,,m,young,m,young,200,
person-076-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
person-078-f-far.jpg,far,,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
person-077-m-clean.jpg,clean,,,green,,256,upper_body,1,1,pass,25,good,good,,m,mature,m,mature,200,
person-075-f-clean.jpg,clean,,,green,,358,upper_body,1,1,pass,35,good,good,,f,adult,f,adult,200,
person-081-m-clean.jpg,clean,,,green,,614,upper_body,1,1,pass,60,good,good,,m,young,m,young,200,
person-079-m-clean.jpg,clean,,,green,,410,upper_body,1,1,pass,40,good,good,,m,adult,m,adult,200,
person-080-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
person-082-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
person-083-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,young,200,
person-084-f-clean.jpg,clean,,,green,,512,upper_body,1,1,pass,50,good,good,,f,mature,f,mature,200,
person-085-m-dim.jpg,dim,,,green,,307,upper_body,1,1,pass,30,good,fair,,m,adult,m,adult,200,
person-086-f-backlit.jpg,backlit,,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
person-087-m-clean.jpg,clean,,,green,,410,head_shoulders,1,1,pass,40,good,good,,m,mature,m,mature,200,
person-088-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
person-090-m-busy.jpg,busy,,,green,,205,upper_body,1,1,pass,20,good,good,,m,adult,m,adult,200,
person-089-f-blur.jpg,blur,,,green,,307,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
person-091-m-dim.jpg,dim,,,green,,307,head_shoulders,1,1,pass,30,good,good,,m,adult,m,adult,200,
person-093-f-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,f,senior,200,
person-092-f-far.jpg,far,,,green,,307,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
person-094-m-blur.jpg,blur,,,green,,307,upper_body,1,1,pass,30,good,good,,m,adult,m,adult,200,
person-095-m-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
person-096-f-clean.jpg,clean,,,green,,358,upper_body,1,1,pass,35,good,good,,f,senior,f,senior,200,
person-097-f-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
person-098-m-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,m,adult,200,
person-099-m-clean.jpg,clean,,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
person-100-m-clean.jpg,clean,,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
Screenshot 2026-07-30 151052.jpg,false-reject,,,green,,326,head_shoulders,1,1,pass,40,good,good,,m,mature,m,mature,200,
Screenshot 2026-07-29 185041.jpg,false-reject,,,green,,299,head_shoulders,1,1,pass,30,good,good,,m,adult,m,adult,200,
Screenshot 2026-07-29 174546.jpg,false-reject,,,yellow,A photo without obstructions like hands would improve the result.,178,face_only,1,1,occluded,90,good,good,partly occluded by hand,f,young,f,young,200,
Benedict-Cumberbatch-C-Mark-Mann.jpg,false-reject,,,green,,601,head_shoulders,1,1,pass,70,good,good,,m,adult,m,adult,200,
large.png,false-reject,,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
669757427_10232393601284904_4574609450701742917_n.jpg,false-reject,,,yellow,,,face_only,1,0,,,,,,,,m,mature,200,
f232f6c9-075d-4511-9824-3ac0d79f96b7.png,false-reject,,,green,,449,upper_body,1,1,pass,40,good,good,,m,adult,m,adult,200,
